attempts,unknown_device,unusual_time,verification_failures,location_change,request_rate,label
4,1,0,0,0,0.9470822304218232,0
3,0,0,2,0,1.9428287191077893,0
4,0,0,0,0,1.2621410049277337,0
5,0,0,2,0,0.1886647601058693,0
4,0,0,2,0,0.8266777834076091,0
4,0,0,2,0,0.9559485787421316,0
2,0,1,1,0,0.13033587921840697,0
2,0,0,2,0,1.6830703322987122,0
3,0,0,1,0,0.4950891594495588,0
4,0,1,1,0,0.8507854484034474,0
4,0,0,1,0,0.18593184893002235,0
5,0,0,0,0,1.9339850838018622,0
4,0,0,2,0,0.12970917280826846,0
1,0,0,2,0,1.4430289533104725,0
3,0,0,1,0,0.3201512130977464,0
1,0,0,2,0,0.7178483118508193,0
3,0,0,2,0,0.32722906728277323,0
3,0,0,2,0,0.17682382012301956,0
2,0,0,2,0,1.0032034240460124,0
5,0,0,2,0,1.125698073473179,0
5,0,0,2,0,1.7728888941289898,0
2,0,0,1,0,0.5150368307119838,0
4,0,0,1,0,0.7769658923462522,0
1,0,0,0,0,1.7353881081870526,0
3,0,0,2,0,0.5638384922707709,0
3,0,0,0,0,0.22329526950706496,0
2,1,0,1,0,0.38136516691145983,0
1,0,1,1,0,0.7556353712506976,0
1,0,0,1,1,0.5599050158718508,0
4,0,0,0,0,0.798787952166581,0
4,1,0,2,0,1.6870747416195522,0
4,0,0,2,0,1.3873722875003367,0
3,0,0,2,0,1.4127817023946854,0
2,0,0,0,0,1.8569178747292694,0
2,0,0,1,1,1.081608193414927,0
1,0,0,0,0,1.3028927688192091,0
1,0,0,2,0,0.8685654415321611,0
1,0,0,1,0,1.203304580729264,0
1,0,0,1,0,1.4146008756161172,0
5,0,0,0,0,0.4397631475205247,0
3,0,0,2,0,0.6038844985952783,0
5,0,0,2,0,1.055010476899865,0
4,0,0,0,0,1.186807978497448,0
1,0,1,1,0,1.8382423414188522,0
3,0,1,0,0,1.9366441561829721,0
3,1,0,0,0,1.7171596758820282,0
3,0,0,2,0,1.8670319861405806,0
2,0,1,1,0,0.6610521179959835,0
2,0,0,2,0,1.1503579561250248,0
2,0,0,0,0,0.2550289427604567,0
1,0,0,1,0,1.7910101494533759,0
4,0,0,2,0,0.9846362344516743,0
5,0,0,0,0,1.6629410652533507,0
3,0,0,0,0,1.9339784777424627,0
4,0,0,1,0,1.3111168128465924,0
4,0,1,1,0,1.610853770060537,0
3,0,0,0,0,0.25365863657267557,0
1,0,0,1,0,0.5754615065127311,0
1,0,0,0,0,1.1532726997716614,0
5,0,0,2,0,0.12734762839653616,0
4,0,0,1,0,0.43312751278974315,0
2,0,0,0,0,1.3345699970212503,0
2,0,0,1,0,0.12907862655173102,0
3,0,0,0,0,1.2701172123408364,0
2,0,0,2,0,1.3866198505276652,0
3,0,0,2,0,1.2892853731929883,0
1,1,0,0,0,0.29147820261711066,0
2,0,0,2,0,0.7060536975581464,0
2,0,0,2,0,0.32451317248114686,0
5,0,0,0,0,0.6358656878854823,0
2,0,0,2,1,0.8839735861317103,0
2,0,0,2,0,1.7309842285017225,0
1,0,0,2,0,1.8148505226911766,0
4,0,0,2,0,0.20162206382000092,0
5,0,0,2,0,1.3858628184061763,0
4,0,0,0,0,1.244637759212126,0
4,0,0,2,0,0.3155827438331512,0
5,0,0,2,0,1.5003675579029168,0
5,0,0,0,0,1.274614320300896,0
5,0,0,1,0,1.7946041266758757,0
2,0,0,2,0,1.7399631917791074,0
4,0,0,0,0,0.8148932125087399,0
3,0,0,2,0,0.7274798051362872,0
3,0,0,1,0,0.3257540409093367,0
5,0,0,2,0,1.9281278421016297,0
4,0,0,1,0,1.6240075731507948,0
5,1,0,0,0,1.8568223274248323,0
4,0,0,0,0,1.2958574124569988,0
1,0,0,2,0,0.6338300602252376,0
4,0,0,1,0,0.981026969385966,0
2,0,0,0,0,1.9738004145112455,0
1,0,0,0,0,0.4089721847552935,0
3,0,0,0,0,0.8946617689521758,0
2,0,0,0,0,1.012703155546074,0
1,0,0,0,0,1.7000259539578466,0
5,0,0,2,0,0.2071134436367615,0
4,0,1,1,0,1.2117841114183967,0
5,0,0,0,0,0.48958612416239733,0
1,1,0,1,0,1.5382983511272346,0
2,0,0,1,0,1.004800323899127,0
3,0,0,1,0,0.2679756243947285,0
3,0,0,2,0,1.5908697014941882,0
2,0,0,1,0,1.220843605023803,0
3,0,0,0,0,1.588940724208172,0
4,0,0,0,0,0.3794396137651721,0
1,0,0,0,1,1.0359743785864521,0
5,0,0,2,0,0.3448714716302335,0
3,0,0,0,0,1.0005271164994574,0
5,1,0,2,0,0.42097661983711265,0
4,0,0,1,0,0.9754796592621789,0
2,0,0,1,0,0.17469306569808798,0
